first_name,last_name,address,date_of_birth
XEMYES,I,XH NOSWGYH MELBOURNE 3000 AUSTRALIA,23-09-1976
JXNWQWVA,FWUWWKGVOM,AQ EZ PERTH WA 6000 AUSTRALIA,08-11-2008
KN,DL,SMQTLF CWDB SYDNEY NSW 2000 AUSTRALIA,21-02-2007
UJ,YYISFQFMS,ENFTFFM GFCTK CANBERRA ACT 2600 AUSTRALIA,20-11-1981
XUDAPI,P,RXTXTAYXMW YNCHOVMKZ ADELAIDE SA 5000 AUSTRALIA,08-05-1969
FGBO,KUFQG,XDXTFFWQAA QYL MELBOURNE 3000 AUSTRALIA,04-03-2007
YQVETDVNFU,TECSHRDJPP,FSPNJXXL CJK DARWIN NT 0800 AUSTRALIA,04-09-2016
YVIGCB,VXLHGYFL,ROXI IP HOBART TAS 7000 AUSTRALIA,01-07-1966
VRPDVOGGO,YXXVLMHSNR,ZZMUOSUUD FNDB MELBOURNE 3000 AUSTRALIA,23-02-1984
AGLSTPWCMN,EBSBF,MZPHWKRZKM MLYDSCJQO HOBART TAS 7000 AUSTRALIA,21-07-1955
XPONR,USRMYDJ,XOBXSTYD YZQGPNT ADELAIDE SA 5000 AUSTRALIA,23-04-1994
J,ELEHIBFMJS,ZFGAAGIBEA SUXNTQRR SYDNEY NSW 2000 AUSTRALIA,11-04-2004
TXBFOJ,POYKK,OJGZZSCDDP CESZBUZ DARWIN NT 0800 AUSTRALIA,16-09-1999
LVPVBCAAB,KWXMURMKIR,DINN OENRJJKOPP PERTH WA 6000 AUSTRALIA,23-08-1985
MALQ,UOIBUGHNWA,LZKTBY GVTNJLKS DARWIN NT 0800 AUSTRALIA,20-04-1984
IDXKYOZHE,TSFLKTNVKD,IZWUDT XCUQIF BRISBANE QLD 4001 AUSTRALIA,14-09-2009
PGOWAV,IQN,GDPDEKVN ZSYWXYOO MELBOURNE 3000 AUSTRALIA,08-03-2000
DJIGU,VHIK,HKMLCIDFAT ZNHXGKHN BRISBANE QLD 4001 AUSTRALIA,24-11-1951
BURKWFB,LMIJJGC,S FICBWDVLPD CANBERRA ACT 2600 AUSTRALIA,27-10-2004
GNN,PNN,IL V BRISBANE QLD 4001 AUSTRALIA,14-08-1996
XGIIGRYDVN,LAETENCTJR,NAC ITPU ADELAIDE SA 5000 AUSTRALIA,21-07-1985
VXKWR,TGIMIJU,MZNLEB KWJYWHRMP HOBART TAS 7000 AUSTRALIA,20-02-1967
W,VXRTMXB,KXVSMLHX EWEVQUFUK BRISBANE QLD 4001 AUSTRALIA,02-02-1954
Y,RLTO,UFIDAKZIUS BPG SYDNEY NSW 2000 AUSTRALIA,25-11-1975
UFNMECSF,DO,CUM ESOHVEFE ADELAIDE SA 5000 AUSTRALIA,11-03-2003
XUGBFLH,BVKEBOECKI,QNBLIV RVTQSU SYDNEY NSW 2000 AUSTRALIA,13-04-1992
PCBHUMZWQW,U,S ZKYAZMTJXD BRISBANE QLD 4001 AUSTRALIA,25-08-1957
ICWVZSMWEM,YYYIHU,JB R ADELAIDE SA 5000 AUSTRALIA,02-10-1993
YN,O,WAALFZAYQ LWVCWD ADELAIDE SA 5000 AUSTRALIA,16-10-2003
ZBCZDBCCKY,FZVR,MQVOEZ XZC HOBART TAS 7000 AUSTRALIA,17-08-2004
CZG,PWRC,SRNQPQFS LXUANCCJXE MELBOURNE 3000 AUSTRALIA,14-07-2005
H,FI,AMEMSACR BNS PERTH WA 6000 AUSTRALIA,14-09-2015
OVAQSXMESL,CUCEWEHGCU,A KURZFYR BRISBANE QLD 4001 AUSTRALIA,22-10-1988
PI,NTWQWFTPIP,DORHISFF JLT ADELAIDE SA 5000 AUSTRALIA,20-08-2014
RXGXRLND,DK,XWJMZ C DARWIN NT 0800 AUSTRALIA,16-08-1982
TVVWQT,ADCT,RQU HUZFVFWD PERTH WA 6000 AUSTRALIA,19-07-1971
TLVW,D,L RUT PERTH WA 6000 AUSTRALIA,07-07-2002
VGSQ,UQH,RJSRB FLARWUJ BRISBANE QLD 4001 AUSTRALIA,26-02-1974
FIZES,WCFHOONLBL,BE UHWAXZPG HOBART TAS 7000 AUSTRALIA,19-11-1977
ADQMOSX,VPMP,CUMZTN UCOK BRISBANE QLD 4001 AUSTRALIA,14-04-1954
KHAZTWQQ,NWWPJ,XYJRM OOTP SYDNEY NSW 2000 AUSTRALIA,08-06-1973
DTQKJDX,EHN,ANOTZXMOVR HOJ SYDNEY NSW 2000 AUSTRALIA,10-04-1955
L,KC,DEIF DKQSQX MELBOURNE 3000 AUSTRALIA,13-02-2008
XDUG,XVJDBEHEQ,FOGOIK QLKM SYDNEY NSW 2000 AUSTRALIA,23-06-2005
VFHKCGRF,JNG,YXJEWUAGF QRH CANBERRA ACT 2600 AUSTRALIA,12-01-1963
SYUZTVSTH,WIRR,XMGT QASDANYIFO HOBART TAS 7000 AUSTRALIA,21-03-1983
LIUB,OXDPBXLXJK,QKS LD HOBART TAS 7000 AUSTRALIA,24-11-1990
OFVVZP,FJKHJ,QICALPQ W PERTH WA 6000 AUSTRALIA,09-05-2016
GBXH,ZWEA,AW RDOBFGFJD ADELAIDE SA 5000 AUSTRALIA,16-09-1977
NLEQCLR,IDNCTSF,HTMGFHTSRY NREV DARWIN NT 0800 AUSTRALIA,19-05-2007
LTV,OA,GQCMWSRMT DQIRG MELBOURNE 3000 AUSTRALIA,06-04-1963
WUXMD,FOFRZSPIN,SIEJ M ADELAIDE SA 5000 AUSTRALIA,14-10-1977
I,YQG,FHXY BKI HOBART TAS 7000 AUSTRALIA,18-01-2011
U,NLANLBHQ,HEFAN RQKXRPKZF DARWIN NT 0800 AUSTRALIA,09-11-1951
ZDXKV,ZVWTUCDLQ,P KI MELBOURNE 3000 AUSTRALIA,13-04-1999
VFECKC,PAJ,PKMUQMBCY VTMK PERTH WA 6000 AUSTRALIA,23-06-2003
LHF,EEVSJVO,OHZHEZZ OMHFTLRKSG PERTH WA 6000 AUSTRALIA,14-05-1960
Z,WGZESZC,E WMJPZN ADELAIDE SA 5000 AUSTRALIA,23-02-1989
HTE,IHPRVWTBFW,FV CIKNNSZ DARWIN NT 0800 AUSTRALIA,15-04-1965
NUETQYJNOV,M,DTGC VHDLK SYDNEY NSW 2000 AUSTRALIA,17-04-2016
XEXZZCPS,EN,N RSQFVPCH HOBART TAS 7000 AUSTRALIA,24-06-1959
YQVGQK,QIEMPYM,PPOM ZLMCN BRISBANE QLD 4001 AUSTRALIA,11-04-1964
NQCTPQYS,GD,LPRXW MKNVPDF ADELAIDE SA 5000 AUSTRALIA,13-06-1992
GTFT,IHLI,ZZWYIWRWRD OUR CANBERRA ACT 2600 AUSTRALIA,08-05-1966
XGY,BYG,CNADDB RHB SYDNEY NSW 2000 AUSTRALIA,28-03-1959
PHMMJ,EZYS,TB HGZOZR HOBART TAS 7000 AUSTRALIA,20-02-2000
CMLJMFEZZ,CSNI,AVFZHMJCN S ADELAIDE SA 5000 AUSTRALIA,27-04-1958
X,JSLWDM,VGXY NQT HOBART TAS 7000 AUSTRALIA,24-01-1958
RU,PYWY,QSZHZT DYZRYYR MELBOURNE 3000 AUSTRALIA,18-11-1972
N,UGHQFUVA,XJ TJCW ADELAIDE SA 5000 AUSTRALIA,21-07-1953
TZLRPGB,IQ,SYGUYBOT ZHUFRUXBN DARWIN NT 0800 AUSTRALIA,07-03-2009
PAIRNNVJBN,JDQDZN,MCJXTASBJ RUB MELBOURNE 3000 AUSTRALIA,14-01-1964
H,MU,GUBGJN FG BRISBANE QLD 4001 AUSTRALIA,02-10-1955
LY,I,YECNC IT SYDNEY NSW 2000 AUSTRALIA,25-04-1976
CMQOBX,PYPQMMNKF,YRBHMSE X BRISBANE QLD 4001 AUSTRALIA,22-07-1985
ECOLRN,JDF,WTUZLN V HOBART TAS 7000 AUSTRALIA,10-07-1983
FHLJRDGT,SBAPCFKR,HSYGKTFJM FQK ADELAIDE SA 5000 AUSTRALIA,03-04-1958
CYYV,FAG,XUWQUPLLL CFN ADELAIDE SA 5000 AUSTRALIA,25-09-1978
EO,XYBN,QZU SPFRRXBMM SYDNEY NSW 2000 AUSTRALIA,06-05-1951
BQTZRBYEEZ,JMGCASBI,RXUDE WFSA HOBART TAS 7000 AUSTRALIA,21-10-1978
TDGIOV,TRESQVQDHM,MGJXYZ FFDK DARWIN NT 0800 AUSTRALIA,23-10-1995
GH,GLYMOAL,MASDEM QRD HOBART TAS 7000 AUSTRALIA,24-11-1989
CPOMC,XHPRMMXQ,GYXYP CUDRMDJMLW ADELAIDE SA 5000 AUSTRALIA,15-03-1977
JMQTQOO,ZPGRTBTOTZ,ERXZBCS INUNKWUSAN DARWIN NT 0800 AUSTRALIA,29-01-1973
YMHNLEP,XV,VRWILUFD WQIKMNDKU MELBOURNE 3000 AUSTRALIA,07-10-1996
MMYCYGTR,XEAMWPQK,HTBVI A MELBOURNE 3000 AUSTRALIA,10-05-1988
PQPOZC,FENBSQZM,PBETFBPLLF USSHKJQVEO ADELAIDE SA 5000 AUSTRALIA,20-11-1983
HSUENXYDO,BJPCHIRTN,HP K MELBOURNE 3000 AUSTRALIA,29-11-1998
OAEHX,JDSVCBVBB,YJIB XFTAINX HOBART TAS 7000 AUSTRALIA,27-03-2015
HL,PPLSLI,NFV WVRV CANBERRA ACT 2600 AUSTRALIA,21-10-2001
MDRZUUSHKA,GQOHVL,DWEZOKSULG CHNR ADELAIDE SA 5000 AUSTRALIA,15-11-1977
GPDLQRGDOB,HOJB,DOVGAC PGWFPOGL ADELAIDE SA 5000 AUSTRALIA,03-03-2004
FI,QUZKE,X TNPERGJCZL ADELAIDE SA 5000 AUSTRALIA,17-01-1975
WRYDEG,FC,QSYNECFYWO XIDUPQ MELBOURNE 3000 AUSTRALIA,07-04-2006
N,AJE,QMMHYUKZNK JRRWSRNNI DARWIN NT 0800 AUSTRALIA,21-06-2010
APCK,CVRM,SVCCIIHZ DQ CANBERRA ACT 2600 AUSTRALIA,22-07-1974
HGWD,UZSWGAYJ,XTLKAN MGGEI ADELAIDE SA 5000 AUSTRALIA,03-10-1967
JHIYBHJVF,V,YREHX JMSHTW ADELAIDE SA 5000 AUSTRALIA,02-08-1956
EWRBHN,ZGDJMFTFFB,BEBADHBDB ORQHZG ADELAIDE SA 5000 AUSTRALIA,07-04-1963
OJ,YDIUSDAK,FNUTJWP L BRISBANE QLD 4001 AUSTRALIA,08-03-1982
GHXF,XVJPRYAMJ,MBB NUHSZI PERTH WA 6000 AUSTRALIA,29-04-1991
DNGYV,V,W JGYI HOBART TAS 7000 AUSTRALIA,12-05-1957
DMMQHEJMCF,TNVACL,KI CJYVO SYDNEY NSW 2000 AUSTRALIA,03-11-2015
DRLG,HEUVIEUMP,RHNNQ Z MELBOURNE 3000 AUSTRALIA,22-10-1981
MNIPLRQG,BSFWPZNTMT,RYFEMOY BQOTIW BRISBANE QLD 4001 AUSTRALIA,12-02-2011
ZGVRWABFDG,W,N XXSNDSUXS SYDNEY NSW 2000 AUSTRALIA,14-06-1973
BIPVK,GP,C AROHY MELBOURNE 3000 AUSTRALIA,18-10-1961
MW,KPYLQDYKL,TRPYWIQ IGDHKCFXWV SYDNEY NSW 2000 AUSTRALIA,04-01-2003
HOGTD,GXE,MZFU RSWJZVILM MELBOURNE 3000 AUSTRALIA,19-11-1977
ZXPVMLIN,EFJRCHEI,FCXJJEVKY IE CANBERRA ACT 2600 AUSTRALIA,25-08-1969
GC,CJPPI,CVI AKZUSGN PERTH WA 6000 AUSTRALIA,28-05-1980
GZXEJ,NVRJD,GX ABNFVHKXDR HOBART TAS 7000 AUSTRALIA,29-07-1982
GY,ALF,BQCDLN Y ADELAIDE SA 5000 AUSTRALIA,19-07-2010
NM,TCSP,MCLWKKX AZRZOIUJZ MELBOURNE 3000 AUSTRALIA,27-06-2009
QS,CFQW,XEWBBVLRK EMFDUNZW SYDNEY NSW 2000 AUSTRALIA,13-04-2011
PZRDET,L,DPGDOUZTTW OHVNIVBNSN SYDNEY NSW 2000 AUSTRALIA,18-06-1970
HVUCLN,TYPN,ALIKPI ODDNUVW PERTH WA 6000 AUSTRALIA,17-09-1966
GTHRUTQNF,CL,GEFAFQDD RZX HOBART TAS 7000 AUSTRALIA,04-01-1979
URS,JFGOYPMHV,CS BGBQZ SYDNEY NSW 2000 AUSTRALIA,22-06-1952
TCHJQ,JRVJO,QWBEXJCAP AMJ DARWIN NT 0800 AUSTRALIA,08-10-1956
AZUXO,SBSLJ,USACPT D PERTH WA 6000 AUSTRALIA,29-11-2016
VVQREEJFR,TZL,ISBH AOZMWC PERTH WA 6000 AUSTRALIA,26-10-1989
CJUFTIJWA,YDZY,SVOPAQJBE BWVIF ADELAIDE SA 5000 AUSTRALIA,18-09-1998
UZVJLEV,KCCTDBJ,VTJP ZVTLROHHFC PERTH WA 6000 AUSTRALIA,12-09-2006
VBAA,VEZGYPBFKO,VTLD WTGEYHF PERTH WA 6000 AUSTRALIA,18-06-1996
OAG,KODLNAZP,K WEJ DARWIN NT 0800 AUSTRALIA,19-04-1982
WTLJUPFFGQ,MWTQTI,QPWRCQGIAT O SYDNEY NSW 2000 AUSTRALIA,19-04-1958
HAKQCPBL,NJKCGKMK,D FXRBW BRISBANE QLD 4001 AUSTRALIA,01-05-1997
OWWDKE,CUR,VR AUS BRISBANE QLD 4001 AUSTRALIA,22-04-1977
ZPEIIJTNZB,VSZ,NJARKJDAJX MIBWWI MELBOURNE 3000 AUSTRALIA,06-09-1952
DTEG,IBVHM,PRMOMHZW SMEYMG SYDNEY NSW 2000 AUSTRALIA,21-11-1996
INY,ORQ,PKDM WRXQQWRZB MELBOURNE 3000 AUSTRALIA,10-02-1951
WTXVIW,TWMT,ZAVRDWFQLD N DARWIN NT 0800 AUSTRALIA,01-05-1983
EDG,LWRAWRQ,O GXFWGQKTH MELBOURNE 3000 AUSTRALIA,14-07-2014
LOTZLB,F,UROGEOFQZU KEYNC SYDNEY NSW 2000 AUSTRALIA,17-05-1994
EZ,WSMJNIXVWT,NIUE HMHMNVB SYDNEY NSW 2000 AUSTRALIA,12-09-1979
KUNPMCGEI,SHE,GJKJJSES BD ADELAIDE SA 5000 AUSTRALIA,27-01-1961
TK,IEIWWS,GELPDO H HOBART TAS 7000 AUSTRALIA,23-08-1994
JR,VE,M XBWW SYDNEY NSW 2000 AUSTRALIA,29-11-1966
RKNHWRF,CRZ,WGXS UGXWLWO PERTH WA 6000 AUSTRALIA,24-01-1978
YKIPBA,SICZEOT,HS XIDE HOBART TAS 7000 AUSTRALIA,24-02-1970
GQGQ,TBX,DQLE S MELBOURNE 3000 AUSTRALIA,24-05-2003
BTKIOVGNUE,CJUTBD,ZSIHYNRHP BUAUMJQTTK MELBOURNE 3000 AUSTRALIA,25-11-2013
UYYIUXBS,TKDRLHXGBY,CDUFTU EEHOAXHB DARWIN NT 0800 AUSTRALIA,06-01-1960
KJZDNOVB,BAIVDQODH,TK WKX MELBOURNE 3000 AUSTRALIA,26-09-1975
NJK,KE,QLLL HCJPPOON MELBOURNE 3000 AUSTRALIA,24-01-1973
RFPPVCYEP,Q,RBNOKEMW VWXX CANBERRA ACT 2600 AUSTRALIA,22-07-1980
MDA,BKQXTP,CO MLEEFI CANBERRA ACT 2600 AUSTRALIA,17-04-1992
WBNZGH,AT,CNK WGOASSJJ HOBART TAS 7000 AUSTRALIA,06-02-1973
LTCIDZ,WUV,F LHSD ADELAIDE SA 5000 AUSTRALIA,22-02-1957
NTFXTSASDH,OVTNUSQ,YYH FQSUIBQH CANBERRA ACT 2600 AUSTRALIA,14-01-1995
YKEO,JOUEAFMIE,YQXEJ MLIFO DARWIN NT 0800 AUSTRALIA,07-05-2007
FHWLAWIV,KDS,XJSXL AFDONGO DARWIN NT 0800 AUSTRALIA,18-02-1990
ATQYQB,FVRY,FPUXY XNHNCHBJX PERTH WA 6000 AUSTRALIA,12-02-2007
ILK,QTSCMUCFB,T OKQVBGSU PERTH WA 6000 AUSTRALIA,25-07-1981
KZJYXHE,U,I AING BRISBANE QLD 4001 AUSTRALIA,04-07-1955
R,Y,QMHCQVS TE ADELAIDE SA 5000 AUSTRALIA,12-07-1990
ILXO,JPTTPB,G ATJQVNE HOBART TAS 7000 AUSTRALIA,13-08-2015
KCNWDDOB,ILEGNXGWS,MX RLEWEITBH MELBOURNE 3000 AUSTRALIA,27-05-2008
HPGSXKSA,GCTXITYR,OTEHE XIMCFXOG ADELAIDE SA 5000 AUSTRALIA,12-10-1956
EFIACP,RIJYYTZ,XCFOJOUY TBC BRISBANE QLD 4001 AUSTRALIA,01-11-1960
WAYGVKBWFW,TF,XHFTNBIBD JTQZVDBCLK HOBART TAS 7000 AUSTRALIA,10-03-2003
OBFUD,J,ZPYTO ZXDQKBXJC DARWIN NT 0800 AUSTRALIA,15-06-1995
QZV,XYQEBS,MKLOTDZTFD TV SYDNEY NSW 2000 AUSTRALIA,04-04-1988
XUTWBQGNWL,LHXTTWNC,PNMAJCJOHM CLR DARWIN NT 0800 AUSTRALIA,15-04-1968
IDBDQWEK,OFORLLVPRE,QNNHIPJBJ FCSVZYM PERTH WA 6000 AUSTRALIA,29-09-1998
YMFZKIJRF,KQT,FZQGOJTM WBRFFQVUI SYDNEY NSW 2000 AUSTRALIA,09-05-1997
CWRRCHDUM,BQKIRDHV,YUWHFWSICS WFAJWXG HOBART TAS 7000 AUSTRALIA,28-10-1973
OQDGJGFS,DXVQHSMYZG,CLGHC NNJURFBO HOBART TAS 7000 AUSTRALIA,07-04-1993
IOCXJZK,WXTBFVPNN,M PDGKZZGF SYDNEY NSW 2000 AUSTRALIA,25-11-1983
YUEQKB,KGTZZL,BN VLMLKTTG ADELAIDE SA 5000 AUSTRALIA,23-06-1952
LQOY,QTNCPQUE,S Y SYDNEY NSW 2000 AUSTRALIA,25-06-2009
LYXIVNOK,QGNZZXBS,MAU UFWXINTXKE MELBOURNE 3000 AUSTRALIA,16-02-1953
IGKAWFD,VNULLNJ,IGWSSF ETYAKYNSNP CANBERRA ACT 2600 AUSTRALIA,10-11-1978
K,TK,CAU DHOCN HOBART TAS 7000 AUSTRALIA,10-04-1962
PPZKXUEGF,EMWBOAGN,ZOOHDT UFITQEB BRISBANE QLD 4001 AUSTRALIA,04-08-2015
T,AZ,NVK LSHJIHWBOA CANBERRA ACT 2600 AUSTRALIA,29-03-1977
DV,VCHGC,CYSDE TE CANBERRA ACT 2600 AUSTRALIA,24-06-1959
SNQUCZYV,KFSHMMLX,NPEIQL BYBMTIJGVV PERTH WA 6000 AUSTRALIA,26-11-1961
BZR,I,CKLDB QZ CANBERRA ACT 2600 AUSTRALIA,28-04-1992
RMW,LSLQJZSVL,AKOZZOHSF ONRAC DARWIN NT 0800 AUSTRALIA,10-11-1954
RRZY,TAFOQY,ICSBFXXFU WEUIAKLPAS PERTH WA 6000 AUSTRALIA,04-06-1979
ICM,JY,PKUCTSX PQXBRAOE HOBART TAS 7000 AUSTRALIA,25-04-1982
RKE,YARKBW,TIXN JLVR CANBERRA ACT 2600 AUSTRALIA,22-02-2014
N,PASNATB,SH ANVXYMVFBB SYDNEY NSW 2000 AUSTRALIA,11-07-1956
TSOQMNQCU,TVCFQQPI,LHKCUVK P ADELAIDE SA 5000 AUSTRALIA,06-09-1953
YXULEMT,LMUTB,IIESS ZR HOBART TAS 7000 AUSTRALIA,14-05-1950
UBZODHAKZZ,MQNFIU,WB H HOBART TAS 7000 AUSTRALIA,27-09-1961
UGJSOIRRQ,TAFFIORXY,EKI QZT SYDNEY NSW 2000 AUSTRALIA,25-07-1972
QGLXARUX,XLZNEGPD,YQT DREXXW DARWIN NT 0800 AUSTRALIA,18-03-1963
SE,LM,R JABNT MELBOURNE 3000 AUSTRALIA,14-09-1965
MQVSVG,M,VVYHHHKAXG EAIMJXV PERTH WA 6000 AUSTRALIA,08-07-1960
PDFRPHCJKJ,S,PWIIJGBNF MDKUXOCPH PERTH WA 6000 AUSTRALIA,11-04-2017
GLZOGQCMNE,GBTXGOU,U VUFF BRISBANE QLD 4001 AUSTRALIA,07-04-1995
QDHKN,YUHDA,YYKOSSW WJ MELBOURNE 3000 AUSTRALIA,24-07-1969
IZH,OLGG,YTXC JWXGVHE BRISBANE QLD 4001 AUSTRALIA,08-10-1997
BECETU,QIRLV,UWTI EZKX MELBOURNE 3000 AUSTRALIA,22-11-2000
JQTQ,TSS,AG DO PERTH WA 6000 AUSTRALIA,02-01-1966
TKPVRKVA,LHORWO,SBX KGYUGDDXN PERTH WA 6000 AUSTRALIA,08-03-1955
AVKGZ,JWAE,GVQ JYBBXXSZC PERTH WA 6000 AUSTRALIA,18-08-2001
AAU,SXA,GB JPJETNI MELBOURNE 3000 AUSTRALIA,13-02-1965
A,XHQEHPFKKV,HNYVH BFUSCTZU DARWIN NT 0800 AUSTRALIA,24-10-2004
MJKZAFF,SH,EV SOIUXRBW DARWIN NT 0800 AUSTRALIA,25-05-1972
UTED,SXWSUOA,TYFFXWPGSA P MELBOURNE 3000 AUSTRALIA,26-11-1988
XVZYKNQN,OFKP,WSSGHH VPWKITGWW DARWIN NT 0800 AUSTRALIA,09-02-2007
UPP,DU,SO ML MELBOURNE 3000 AUSTRALIA,03-11-1979
VNP,YRT,XF XQKNYQT MELBOURNE 3000 AUSTRALIA,28-06-1992
NUT,JVTUBFKY,NSBYRDXXH FSXZUKN ADELAIDE SA 5000 AUSTRALIA,05-04-1985
NWTHQVOL,IUYBV,A HTCTSYQ ADELAIDE SA 5000 AUSTRALIA,09-11-2011
BILDQUGSJM,IYGUIVFHG,WCOEACXSHI HTAHKW CANBERRA ACT 2600 AUSTRALIA,18-11-1984
BTAOOOOBX,QH,E CMMFQXUQLL HOBART TAS 7000 AUSTRALIA,06-09-2006
B,BNMYX,FSSX TJCF DARWIN NT 0800 AUSTRALIA,21-02-1980
JSFCG,XYXDOLUOE,HJSRILUX ETRASYOYDE PERTH WA 6000 AUSTRALIA,03-02-1969
LWDLRRC,UDKJNIGLYK,FFVL LYIVOESW MELBOURNE 3000 AUSTRALIA,23-03-1971
E,BGXRIYSTLN,OTJY RIH SYDNEY NSW 2000 AUSTRALIA,19-11-1950
ULFVARIGA,KIJDVIWL,AUUQEPJN BZ PERTH WA 6000 AUSTRALIA,29-01-2000
KFUZJCTT,E,ANZMTYAPIA TU BRISBANE QLD 4001 AUSTRALIA,10-07-1979
HIKNEG,BCXTQJ,H RCKYH MELBOURNE 3000 AUSTRALIA,29-11-1986
BRLQNK,VZVHJFO,K RSTGNONDZ PERTH WA 6000 AUSTRALIA,18-02-2014
HRVPOF,IIIE,AJVCM DN ADELAIDE SA 5000 AUSTRALIA,18-01-1976
EEDPYPTS,CFSPL,GV KQXRLAHASE PERTH WA 6000 AUSTRALIA,28-06-2003
ARRB,WSR,CD GE HOBART TAS 7000 AUSTRALIA,15-07-1981
R,OBOO,BW HUJRHGUPP HOBART TAS 7000 AUSTRALIA,29-05-1980
FEA,HSAKO,EEMEN XEHAWCAEQA ADELAIDE SA 5000 AUSTRALIA,15-03-1950
DLOPNOB,JEB,CE JJYMPSB HOBART TAS 7000 AUSTRALIA,07-05-1967
IWQSUGXX,VSKULVXXUK,QDLP FCOXX MELBOURNE 3000 AUSTRALIA,03-06-1967
ASMGPB,EGLHWSFM,GLDDXZ DPMOEZQYTW ADELAIDE SA 5000 AUSTRALIA,25-08-1967
Z,EGGGPPK,DJKMQXKA DU HOBART TAS 7000 AUSTRALIA,15-07-2001
GFD,IXOSXD,AZA MQ DARWIN NT 0800 AUSTRALIA,14-08-1976
UXQQKW,MCZNM,GEORIGYOD VQVQUHSTU PERTH WA 6000 AUSTRALIA,23-11-1950
OESO,VP,IVYYPQFN VFVJHW SYDNEY NSW 2000 AUSTRALIA,28-07-1950
WP,B,GRJV PCWUWVHP MELBOURNE 3000 AUSTRALIA,13-10-1959
LWATBRWJG,BGQTBMSQ,T MUFTWYSKQ CANBERRA ACT 2600 AUSTRALIA,15-06-1961
CQQNPRJCYM,YHGBC,HOOUUXGGEW GVUV DARWIN NT 0800 AUSTRALIA,16-09-1967
IMSIOIZPA,IEWM,BANBB WIJM BRISBANE QLD 4001 AUSTRALIA,26-09-1963
JYDTEZ,LJRAOSSM,FFPMTWT TRHCHDMI ADELAIDE SA 5000 AUSTRALIA,29-07-1961
PON,HTP,XOJPSC WHUAANVDP MELBOURNE 3000 AUSTRALIA,09-07-1993
LGY,VO,TJSXX HU ADELAIDE SA 5000 AUSTRALIA,02-09-1972
AAGEG,RGRKNJB,EPFNSGH YP BRISBANE QLD 4001 AUSTRALIA,20-01-2000
XMYMYWQEN,SHPMSK,XKTIDMG KQHRGLAN CANBERRA ACT 2600 AUSTRALIA,02-09-1992
LJQQLF,IIAB,X CR SYDNEY NSW 2000 AUSTRALIA,25-10-2017
NNSBGOX,DNLDDCT,HKNLYR NVVLSQPZC ADELAIDE SA 5000 AUSTRALIA,08-03-1982
CL,VXSA,GLMCXV UUYFJSOTC HOBART TAS 7000 AUSTRALIA,27-01-1976
JK,XLYWZI,AOEMQRLNT BLK MELBOURNE 3000 AUSTRALIA,14-07-2016
RZX,UQEG,HGY BMSXTQMOJF DARWIN NT 0800 AUSTRALIA,18-09-1991
RDKTADM,NJHPFFEXAO,RTX QTRG SYDNEY NSW 2000 AUSTRALIA,10-03-2007
YGSQLW,V,NI LGUOSRQUFQ ADELAIDE SA 5000 AUSTRALIA,07-02-1990
UPLBXGN,JNZWLI,VJTWHXN OFQCFD HOBART TAS 7000 AUSTRALIA,06-06-1956
OAS,ZUSJJXRTI,TXUN MDU DARWIN NT 0800 AUSTRALIA,17-09-2013
YBJGJYIUF,JEZ,HBHDO WFZOH BRISBANE QLD 4001 AUSTRALIA,24-07-1956
SIWYNYBOX,NGQ,LLDECJMF TMWQPC ADELAIDE SA 5000 AUSTRALIA,03-05-1952
QPMLDPJUWM,CIW,ENXOUWRZI PZJBCTA MELBOURNE 3000 AUSTRALIA,06-10-2000
PHQSH,GNQRR,UEYNOJUEE QHKBDHVU MELBOURNE 3000 AUSTRALIA,11-05-1961
OKMJYHLVX,IG,BFBRVPDTZM GHTA MELBOURNE 3000 AUSTRALIA,04-04-2015
SAREIAF,DQHR,ZKTBJ SHVKMYAB CANBERRA ACT 2600 AUSTRALIA,28-04-1950
DBOUYTHFA,WG,OPIWEIQ HOHZMYXKAQ PERTH WA 6000 AUSTRALIA,02-09-1965
X,GGVC,DIFTE HBAJXRLN MELBOURNE 3000 AUSTRALIA,28-03-2014
AOSY,FKIKPFSCNH,AQAKHMZGZ WDTSKX MELBOURNE 3000 AUSTRALIA,08-01-1957
ABLXZFEHE,TZ,UOPGZI EPEY MELBOURNE 3000 AUSTRALIA,05-11-1972
PRJFQ,TRBX,AO GG HOBART TAS 7000 AUSTRALIA,10-01-2005
IRZBQABJH,PBKL,ZXY JBUH CANBERRA ACT 2600 AUSTRALIA,11-10-1986
WUUXGPSES,O,K YQ BRISBANE QLD 4001 AUSTRALIA,25-06-1974
QEZK,PVROGZ,ILQQZ IZOCQZU MELBOURNE 3000 AUSTRALIA,08-08-2009
NXT,OZS,ETIRONSZM Q PERTH WA 6000 AUSTRALIA,26-07-1980
FRN,PVBEKSEE,IXI PQOFO DARWIN NT 0800 AUSTRALIA,25-07-2007
CF,BBZFYKX,XEXEQ FZSL SYDNEY NSW 2000 AUSTRALIA,17-07-1950
XUV,KXBY,SVT CIU ADELAIDE SA 5000 AUSTRALIA,28-09-2017
JVYE,AFQHLCCPEC,ENKWPKFDNY AXLV DARWIN NT 0800 AUSTRALIA,16-10-1990
HBUC,QJZZ,FCLCUAQUQ IK DARWIN NT 0800 AUSTRALIA,25-06-1975
XOR,ST,OES XNMYYEGM CANBERRA ACT 2600 AUSTRALIA,23-07-1994
